filename,speaker,category,reference,hypothesis,wer
Abdullah_A01.wav,Abdullah,A,"Kal sham tak saray documents media par nashar kar diye jayen ge, is mein koi delay nahi honi chahiye.","कल शाम तक सारे डोकमेट्स मीट्या पनशर कर दिये जैंगे, इस में कोई डिले नहीं होना चाहिये.",1.0
Abdullah_A02.wav,Abdullah,A,"Yeh meeting abhi cancel nahi hogi, boss ne personally confirm kiya hai aur sab ko attend karna hoga.",ये मीटिंग अभी कैंसल नहीं होगी बोस ने परसनली कनफर्म किया है और सब को अटेंग करना होगा,1.0
Abdullah_A03.wav,Abdullah,A,"Project ka final review kal subah hoga, isliye aaj raat tak apna kaam complete kar lo aur tayar raho.",प्रुजक्त का फ़नेली लिए कल सुभा होगा इसलिये आज राल तक अपना काम कमठीट कर लो और तेया रहो,1.0
Abdullah_A04.wav,Abdullah,A,"Uska performance is semester mein kaafi improve hua hai, professors bhi usse appreciate kar rahe hain.",उसका पर्फोमेस इस मैस्टर में काफीम प्रूव हुए है प्रोफैसेस भी उसे अप्रीषेट का रहे हैं,1.0
Abdullah_A05.wav,Abdullah,A,"System crash ho gaya tha isliye sara data delete ho gaya, ab se regular backup lena zaroori hai.",सिस्तम क्रैश होगया ता इसले सारा डेटर डलीट होगया अप से रैगुलर बैटकाप लेनाज रूली है,1.0
Abdullah_A06.wav,Abdullah,A,"Mujhe yeh project deadline tak submit karna hai, warna marks cut ho jayenge aur GPA affect hoga.",मुझे ये प्रोज्यक देल्लाइन तक सम्मिट करवाना है वन्डा माक्स कट्ब हो जेंगे और जीपी अप्यक्त होगा,1.0
Abdullah_A07.wav,Abdullah,A,"Woh bahut professional banda hai, usse seriously lo aur uski feedback ko ignore mat karo bilkul.","वो बहुत प्रफेशनल मंदा है, उसे सीर्यस्ली लो, और उसकी फीट्बैक कुगनोर मात करो भी ल्कुल.",1.0
Abdullah_A08.wav,Abdullah,A,"Yeh issue abhi tak resolve nahi hua, please follow up karo aur team ko kal tak update karte rehna.",ये इशु अभी ताक रिजोल नहीं हूँा प्लीस फोलो अप करो और तीम को कल तक अबडेट करते रहना,1.0
Abdullah_A09.wav,Abdullah,A,"Mera laptop ki battery bohot jaldi low ho jati hai, agar charger hai to please lao warna kaam ruk jayega.","मेरे लईप्टोप की बैट्टरी भोछ जल्दी लोग हो जाती है, अगर चारजर है, तो प्लीस लोग वरना काम रुक जैगा.",1.0
Abdullah_A10.wav,Abdullah,A,"Assignment ka deadline extend hua kya is bar, kyunki main kuch din se bohot busy tha aur poora nahi ho paya.",असाइन्मन का देल्लाइन इस्टन्ड हुए क्या इस्वर कुंके मैं कुछ दिन से बहुत भीजी ता और पूरा नहीं हो पाया,1.0
Abdullah_B01.wav,Abdullah,B,Maine usse baar baar clearly explain kiya tha lekin usne properly respond nahi kiya aur ab poora project stuck ho gaya hai.,मैंने उसे बार बार कलेल इस्प्लें किया ता लेकिन उसने प्लोप्रली रिस्पोर नहीं किया और अप पुडा प्रोज्यक स्टक वोगया है,1.0
Abdullah_B02.wav,Abdullah,B,"Deadline extend nahi hogi is bar, tum apna remaining work aaj raat hi complete karke tonight submit kar do please.","देल्डाइन एकस्ट्टन नहीं होगा इस बार, तुम अपना रेमेनिग वक आज राज तक ही, कमपलेट करके, तुनाइत सम्मिट करक दो प्लीज.",1.05
Abdullah_B03.wav,Abdullah,B,Yeh approach technically correct lag rahi hai lekin practically implement karna bohot mushkil hoga available limited resources ke saath.,ये प्रोज टेक्निकलि कुरेक्त लगरी है लेकिन प्रक्टिकल इंप्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्लिम्ल,1.0
Abdullah_B04.wav,Abdullah,B,Usne presentation to deliver kar di lekin saare key points theek se cover hi nahi kiye the aur audience kaafi confused ho gayi.,उसने प्रजान्तेशन तो दिलिवर कर दी लेकिन सारे कीपोंस टीक से कवर ही नहीं किये थे और अडियास काफी कन्फुस्ट हो गई,1.0
Abdullah_B05.wav,Abdullah,B,"Report ko achhi tarah finalize karo aur phir manager ko detailed email kar do, yeh sab kuch before evening ho jana chahiye.",रिपोड को अच्छी तरा फाइनलाइस काडो और फिर मैनिजर को दिटेल्ड एमेल कर दो ये सब कुछ भीफोर एवनिंग हो जाना जाहिये,1.0
Abdullah_B06.wav,Abdullah,B,"Dataset collection ke liye hum Google Forms use kar sakte hain, it is the easiest option aur sab ke liye equally accessible bhi hai.",देटा सेट कुलेक्षन के लिए हम गुगल फुम्स यूँस कर सकते हैं इस देटा सेट कुलेक्षन के लिए हम गुगल फुम्स यूँस कर सकते हैं इस देटा सेट कुलेक्षन के लिए हम गुगल फुम्स यूँस कर सकते हैं इस देटा सेट कुलेक्षन के लिए हम गुगल फुम्स यूँस कर सकते हैं इस देटा सेट कुलेक्षन के लिए हम गुगल फुम्स यूँस कर सकते हैं इस देटा सेट कुलेक्षन के लिए हम गुगल फुम्स यूँस कर सकते हैं इस देटा सेट कुलेक्षन के लिए हैं,3.5
Abdullah_B07.wav,Abdullah,B,"Internship ke liye abhi apply karo, the deadline is next Friday aur online form available hai, is baar late mat karna bilkul.",इंट्रन्शिप के लिए अभी अप्लाये कोरोड दार्द लें इस नेक्स प्रीटे और औन लें फोम अवेलिबल है इस भर लेए त्मट कनना बिलकुल,1.0454545454545454
Abdullah_B08.wav,Abdullah,B,"Research paper submit karne se pehle achhi tarah plagiarism check karo, journal ke strict rules hain aur rejection afford nahi kar sakte.",दीशर्च पेप्र सर्मिट करने से अच्छी तरहां पलाज़रिस्म चैक तोरो जन्नल के स्ट्रिक दूल्स हैं और इजक्छन अफ़ोड नहीं कर सकते हैं।,1.0
Abdullah_B09.wav,Abdullah,B,Usne interview mein confidently sawal to answer kiye lekin technical questions pe stuck ho gaya aur interviewer clearly impressed nahi tha.,उसने अंटर्वियु में कुन्फिरेंटली सवाल तो अनसर की है लिकिन टेकनिकल कुश्टिन्स पर स्थक हो गया और अंटर्वियूर कल्यर्टी इंप्रेस्ट नहीं था,1.0476190476190477
