filename,speaker,category,reference,hypothesis,wer
Abdullah_A01.wav,Abdullah,A,"Kal sham tak saray documents media par nashar kar diye jayen ge, is mein koi delay nahi honi chahiye.",کل شام تک سارے دکومنٹس میڈیا پرناشر کر دیے جائیں گے اس میں کوئی دلے نہیں ہونا چاہئے,1.0
Abdullah_A02.wav,Abdullah,A,"Yeh meeting abhi cancel nahi hogi, boss ne personally confirm kiya hai aur sab ko attend karna hoga.",یہ میٹنگ ابھی کانسل نہیں ہوگی بوز نے پرسنالی کنفرم کیا ہے اور سب کو اٹینٹ کرنا ہوگا,1.0
Abdullah_A03.wav,Abdullah,A,"Project ka final review kal subah hoga, isliye aaj raat tak apna kaam complete kar lo aur tayar raho.",پروجیکٹ کا فائنیلی بیو کل سبہ ہوگا اس لیے آج راہتک اپنا کام کمپلیٹ کر لو اور تیارہ ہو,1.0
Abdullah_A04.wav,Abdullah,A,"Uska performance is semester mein kaafi improve hua hai, professors bhi usse appreciate kar rahe hain.",اس کا پرفومس اس سمسٹر میں کافی امبروح ہوا ہے پروفیسس بھی اسے اپریشئٹ کر رہے ہیں,1.0625
Abdullah_A05.wav,Abdullah,A,"System crash ho gaya tha isliye sara data delete ho gaya, ab se regular backup lena zaroori hai.",سسٹم کرش ہو گیا تھا اس لئے سارہ دیٹر دلیٹ ہو گیا اب سے ریگولر بیٹکپ لینا ضروری ہے,1.0555555555555556
Abdullah_A06.wav,Abdullah,A,"Mujhe yeh project deadline tak submit karna hai, warna marks cut ho jayenge aur GPA affect hoga.",مجھے یہ پروڈیکٹ ڈیلڈائن تک سمیٹ کروانا ہے وانا مارکس کٹھ ہو جیں گے اور گیپی افکٹ ہوگا,1.0588235294117647
Abdullah_A07.wav,Abdullah,A,"Woh bahut professional banda hai, usse seriously lo aur uski feedback ko ignore mat karo bilkul.",وہ بہت پروفیشنل مندہ ہے اس سے سیریسلی لو اور اس کی فیڈبیک کو اگنور مات کرو بالکل,1.125
Abdullah_A08.wav,Abdullah,A,"Yeh issue abhi tak resolve nahi hua, please follow up karo aur team ko kal tak update karte rehna.",یہ اشو ابھی تک رزول نہیں ہوا پلیس فولو اپ کرو اور ٹیم کو کل تک اپڑیڈ کرتے رہنا,1.0
Abdullah_A09.wav,Abdullah,A,"Mera laptop ki battery bohot jaldi low ho jati hai, agar charger hai to please lao warna kaam ruk jayega.",میرے لیپٹوب کی بیٹری بہت جلدی لو ہو جاتی ہے اگر چارجر ہے تو پلیس لو وڑنہ کام رکھ جائے گا,1.05
Abdullah_A10.wav,Abdullah,A,"Assignment ka deadline extend hua kya is bar, kyunki main kuch din se bohot busy tha aur poora nahi ho paya.",اسائنمنٹ کا ڈیرڈ لائن ڈیرڈ ہوا کیا اس بار کیونکہ میں کچھ دن سے بہت بیزی تھا اور پورا نہیں ہو پایا,1.0476190476190477
Abdullah_B01.wav,Abdullah,B,Maine usse baar baar clearly explain kiya tha lekin usne properly respond nahi kiya aur ab poora project stuck ho gaya hai.,میں نے اس سے بار بار کلیلی اکسپلین کیا تھا لیکن اس نے پلوپرلی رسپورن نہیں کیا اور اب پورا پروڈک سٹک ہو گیا ہے,1.1363636363636365
Abdullah_B02.wav,Abdullah,B,"Deadline extend nahi hogi is bar, tum apna remaining work aaj raat hi complete karke tonight submit kar do please.",دیلڈائن اکسترین نہیں ہوگا اس بار تم اپنا ریمیننگ وقت آج رات تک ہی کمپلیٹ کرکے تونائٹ سمجھٹ کر دو کلیز,1.05
Abdullah_B03.wav,Abdullah,B,Yeh approach technically correct lag rahi hai lekin practically implement karna bohot mushkil hoga available limited resources ke saath.,یہ پروش ٹیکنیکلی پریکٹ لگ رہی ہے لیکن پریکٹکل امپلیمنٹ کرنا بہت مشکل ہوگا اویلے بلیمٹرد رسورس کے ساتھ,1.0
Abdullah_B04.wav,Abdullah,B,Usne presentation to deliver kar di lekin saare key points theek se cover hi nahi kiye the aur audience kaafi confused ho gayi.,اس نے پریزنٹیشن تو ڈلیور کر دی لیکن سارے کیپونس ٹیق سے کبر ہی نہیں کیئے تھے اور اوڈیاں کافی کنفیوزڈ ہو گئی,1.0
Abdullah_B05.wav,Abdullah,B,"Report ko achhi tarah finalize karo aur phir manager ko detailed email kar do, yeh sab kuch before evening ho jana chahiye.",رپورٹ کو اچھی طرح فائنلائز کردو اور پھر مینجر کو دیتیلڈ ایمل کر دو یہ سب کچھ before evening ہو جانا چاہیے,0.9090909090909091
Abdullah_B06.wav,Abdullah,B,"Dataset collection ke liye hum Google Forms use kar sakte hain, it is the easiest option aur sab ke liye equally accessible bhi hai.",دیتا سیٹ کلیکشن کے لیے ہم گوگل فارمز use کر سکتے ہیں ایسی اسٹ اوپشن اور سب کے لیے ایکولی اسیسیبل بھی ہے,1.0
Abdullah_B07.wav,Abdullah,B,"Internship ke liye abhi apply karo, the deadline is next Friday aur online form available hai, is baar late mat karna bilkul.",انٹرنشپ کے لیے ابھی اپلائے کرو دار دیڑلین اس نکس پریڈے اور اونلین فرم اویلبل ہے اس بر لیت مٹ کرنا بلکل,1.0
Abdullah_B08.wav,Abdullah,B,"Research paper submit karne se pehle achhi tarah plagiarism check karo, journal ke strict rules hain aur rejection afford nahi kar sakte.",دیسرچ پیپر سرمیٹ کرنے سے پہلے اچھی طرح پلیجریزم چیک کرو جنرل کے سٹریک دولز ہیں اور ایجیکشن افور نہیں کر سکتے,1.0
Abdullah_B09.wav,Abdullah,B,Usne interview mein confidently sawal to answer kiye lekin technical questions pe stuck ho gaya aur interviewer clearly impressed nahi tha.,اس نے انٹریویو میں سوال تو سوال تو آنسر کی ہے لیکن ٹیکنیکل کوشنز پر سٹک ہو گیا اور انٹریویور کلیرلی امپریسٹ نہیں تھا,1.1428571428571428
Abdullah_B10.wav,Abdullah,B,Team ne feature successfully implement kar diya lekin testing phase mein multiple critical bugs nikle jo pehle notice hi nahi hue the.,تیم نے فیتر سکسپولی ایمپلیمٹ کر دیا لیکن ٹیسٹنگ فیز میں ملٹپل کریٹکل بگز نکلے جو پہلے نوٹیز ہی نہیں ہوئے تھے,1.0
Abdullah_C01.wav,Abdullah,C,"Bhai honestly baat karein to yeh system properly designed nahi hai, backend bohot slow hai aur frontend pe bhi serious bugs hain jo weeks se fix nahi hue, team ko yeh sab immediately address karna chahiye tha.",بھائی انسلی بات کریں تو یہ سسٹم پروپلیڈ جائن نہیں ہے بیکن بہت سلو ہے اور فرنٹن پی بھی سیریس بگزہیں جو ویک سے فکس نہیں ہوئے تین کو یہ سب ایمیٹیٹلی ادرس کرنا چاہیے تھا,1.0
Abdullah_C02.wav,Abdullah,C,"Maine usse multiple times remind kiya tha lekin usne task assign karne ke baad koi proper follow-up nahi ki aur ab deadline miss ho gayi, client bohot upset hai aur situation handle karna din ba din mushkil ho raha hai.",میں نے اسے ملٹبل ٹیمز رمائنڈ کیا تھا لیکن اس نے ٹاسک اسائن کرنے کے بعد کوئی پروپر فولوپ نہیں کی اور اب ڈیڈڈلائن میس ہو گئی کلائنٹ بہت اپسٹ ہے اور سیچویشن ڈیڈل کرنا دن بہدن مشکل ہو رہا ہے,1.025
Abdullah_C03.wav,Abdullah,C,"Model train karna start kiya tha lekin dataset imbalanced nikla aur accuracy bhi expected se bohot kam thi, ab pehle data clean karke dobara preprocess karna parega aur phir carefully se training dobara run karni hogi.",موڈل ٹرین کرنا سٹارٹ کیا تھا لیکن ڈیٹا سٹ ایم بیلنج نکلا اور ایکو ریسی بھی ایکسپیکٹٹ سے بہت کم تھی اب پہلے ڈیٹا کلین کر کے دوبارہ پری پروسس کرنا پڑے گا اور پھر کیر فلی سے ٹریننگ دوبارہ رنکنی پڑے گی,1.1944444444444444
