filename,speaker,category,reference,hypothesis,wer
Abdullah_A01.wav,Abdullah,A,"Kal sham tak saray documents media par nashar kar diye jayen ge, is mein koi delay nahi honi chahiye.",کل شام تک سارے دکومٹس میڈیا پنے شر کر دیا جنگے اس میں کوئی دلے نہیں ہونا چاہی ہے,1
Abdullah_A02.wav,Abdullah,A,"Yeh meeting abhi cancel nahi hogi, boss ne personally confirm kiya hai aur sab ko attend karna hoga.",یہ میٹنگ ابھی کنسل نہیں ہوگی بوز نے پرسنلی کنفرم کیا ہے اور سب کو اٹن کرنا ہوگا,1
Abdullah_A03.wav,Abdullah,A,"Project ka final review kal subah hoga, isliye aaj raat tak apna kaam complete kar lo aur tayar raho.",پروجیکٹ کا فائنیلی بیو کل سبہ ہوگا اس لیے آج رال تک اپنا کام کمکلیٹ کرلو اور تیارہ ہو,1
Abdullah_A04.wav,Abdullah,A,"Uska performance is semester mein kaafi improve hua hai, professors bhi usse appreciate kar rahe hain.",اس کا پر فومس اس مستر میں کافیم برو ہوا ہے بروفسس بھی اسے اپریشیٹ کر رہے ہیں,1.125
Abdullah_A05.wav,Abdullah,A,"System crash ho gaya tha isliye sara data delete ho gaya, ab se regular backup lena zaroori hai.",سسٹم کراش ہو گیا تھا اسلے سارہ دیٹر دلیٹ ہو گیا اب سے رگولر بیٹھ پلے نظ روی ہے,1.055555556
Abdullah_A06.wav,Abdullah,A,"Mujhe yeh project deadline tak submit karna hai, warna marks cut ho jayenge aur GPA affect hoga.",مجھے یہ پروجیک دللائن تک سمیڈ کروانا ہے بندہ مارکس کٹھ ہو جنگے اور جپی افیکٹ ہو گا,1.058823529
Abdullah_A07.wav,Abdullah,A,"Woh bahut professional banda hai, usse seriously lo aur uski feedback ko ignore mat karo bilkul.",وہ بہت پر فیشنل مندہ ہے اس سے سیریس لیلو اور اس کی فیڈ بیک کو اگنور مد کرو بلکول,1.25
Abdullah_A08.wav,Abdullah,A,"Yeh issue abhi tak resolve nahi hua, please follow up karo aur team ko kal tak update karte rehna.",یہ اشو ابھی تک ریزوال نہیں ہوا، پلیس فولو آپ پر اور ٹیم کو قلتق اب دید کرتے رہنا,1
Abdullah_A09.wav,Abdullah,A,"Mera laptop ki battery bohot jaldi low ho jati hai, agar charger hai to please lao warna kaam ruk jayega.",ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک ایک,11.1
Abdullah_A10.wav,Abdullah,A,"Assignment ka deadline extend hua kya is bar, kyunki main kuch din se bohot busy tha aur poora nahi ho paya.",سائنمان کا دلائن ایک سٹرنڈ ہوا کیا اس بار کیونکہ میں کچھ دن سے بہت بیزی تھا اور پورا نہیں ہوا پیا,1.047619048
Abdullah_B01.wav,Abdullah,B,Maine usse baar baar clearly explain kiya tha lekin usne properly respond nahi kiya aur ab poora project stuck ho gaya hai.,میں نے اسے بار بار کلیڈ اکسپلیں کیا تھا لیکن اس نے پلوپلی رسپان نہیں کیا اور اب پورا پروجکسٹک ہو گیا ہے,1.045454545
Abdullah_B02.wav,Abdullah,B,"Deadline extend nahi hogi is bar, tum apna remaining work aaj raat hi complete karke tonight submit kar do please.",دیدلین اکسٹن نہیں ہو گا ایس بار تم اپنا ریمینگ وک آج رادتا کہ ہی کمپلیٹ کرکے تو نیٹ سرمیٹ کرک دو پلیس,1.15
Abdullah_B03.wav,Abdullah,B,Yeh approach technically correct lag rahi hai lekin practically implement karna bohot mushkil hoga available limited resources ke saath.,یہ پر اوش ٹیکنی کلی پرکٹ لکری ہے لیکن پرکٹیگل ایمپلیمنٹ فرنہ بہت مشکل ہوگا اویلی بلیمٹر دیسورس اس کا ساتھ,1.105263158
