sentence_id,category,lang_tags
A01,A,UR UR UR UR EN EN UR UR UR UR UR UR UR UR UR EN UR UR UR
A02,A,UR EN UR EN UR UR EN UR EN EN UR UR UR UR UR EN UR UR
A03,A,EN UR EN EN UR UR UR UR UR UR UR UR UR EN UR UR UR UR UR
A04,A,UR EN UR EN UR UR EN UR UR EN UR UR EN UR UR UR
A05,A,EN EN UR UR UR UR UR EN EN UR UR UR UR EN EN UR UR UR
A06,A,UR UR EN EN UR EN UR UR UR EN EN UR UR UR EN EN UR
A07,A,UR UR EN UR UR UR EN UR UR UR EN UR EN UR UR UR
A08,A,UR EN UR UR EN UR UR EN EN EN UR UR EN UR UR UR EN UR UR
A09,A,UR EN UR EN UR UR EN UR UR UR UR EN UR UR EN UR UR UR UR UR
A10,A,EN UR EN EN UR UR UR UR UR UR UR UR UR UR EN UR UR UR UR UR UR
B01,B,UR UR UR UR EN EN UR UR UR UR EN EN UR UR UR UR UR EN EN UR UR UR
B02,B,EN EN UR UR UR UR UR UR EN EN UR UR UR EN UR EN EN UR UR EN
B03,B,UR EN EN EN UR UR UR UR EN EN UR UR UR UR EN EN EN UR UR
B04,B,UR EN UR EN UR UR UR UR EN EN UR UR EN UR UR UR UR UR EN UR EN UR UR
B05,B,EN UR UR UR EN UR UR UR UR EN EN EN UR UR UR UR UR EN EN UR UR UR
B06,B,EN EN UR UR UR EN EN EN UR UR UR EN EN EN EN EN UR UR UR UR EN EN UR UR
B07,B,EN UR UR UR EN UR EN EN UR EN EN UR EN EN EN UR UR UR EN UR UR UR
B08,B,EN EN EN UR UR UR UR UR EN EN UR EN UR EN EN UR UR EN EN UR UR UR
B09,B,UR EN UR EN UR UR EN UR UR EN EN UR EN UR UR UR EN EN EN UR UR
B10,B,EN UR EN EN EN UR UR UR EN EN UR EN EN EN UR UR UR EN UR UR UR UR
C01,C,UR EN UR UR UR UR EN EN EN UR UR EN UR EN UR UR EN UR UR EN EN UR UR EN EN EN UR UR EN UR UR EN UR UR UR UR UR
C02,C,UR UR EN EN EN UR UR UR UR EN EN UR UR UR EN EN EN UR UR UR UR EN EN UR UR EN UR EN UR UR EN EN UR UR EN UR UR UR UR UR UR
C03,C,EN EN UR EN UR UR UR EN EN UR UR EN UR EN UR UR UR UR UR UR EN EN UR EN EN UR UR UR UR EN UR EN UR EN UR UR
C04,C,EN UR EN UR UR EN UR UR UR UR EN EN EN UR UR UR UR EN UR EN UR UR UR EN EN UR EN UR UR EN UR EN EN EN UR UR UR
C05,C,UR EN EN EN EN EN UR UR UR UR UR UR EN EN EN EN UR EN EN UR UR UR UR EN EN UR EN EN UR UR EN EN UR UR UR UR UR
C06,C,EN EN EN EN UR UR EN UR UR UR UR EN EN UR UR EN UR UR EN EN UR UR UR UR EN EN UR UR UR UR EN UR EN EN UR
C07,C,EN UR UR EN EN UR UR EN EN UR UR UR UR UR EN EN UR UR UR EN UR UR UR UR UR UR UR EN UR UR UR UR EN EN UR UR UR
C08,C,UR EN EN EN UR EN UR UR UR EN UR EN UR EN UR UR UR EN EN UR UR UR UR UR EN EN EN UR UR UR EN EN UR UR
C09,C,UR UR EN EN EN UR UR UR EN EN EN EN UR UR EN EN EN UR UR EN EN UR UR EN EN UR UR UR UR EN UR EN UR UR
C10,C,UR UR EN EN UR UR UR EN EN UR UR UR EN EN UR UR UR EN EN EN UR EN UR UR UR UR EN EN UR UR UR EN EN UR UR UR UR UR
